Date,Time,DrawNumber,Numbers
Вчера,,149872,"22 3 16 12 4 24 6 11 7 1 2 18"
Вчера,,149871,"23 2 18 10 22 7 20 1 24 14 13 5"
Вчера,,149870,"3 2 6 17 10 23 4 12 5 24 9 16"
Вчера,,149869,"6 18 7 4 19 21 20 14 12 17 16 5"
Вчера,,149868,"2 17 16 15 23 5 1 13 24 4 8 21"
Вчера,,149867,"7 18 11 22 23 3 5 1 10 16 14 24"
Вчера,,149866,"17 20 6 1 18 10 14 16 23 8 22 5"
Вчера,,149865,"2 23 22 10 13 3 6 21 24 1 5 12"
Вчера,,149864,"12 18 16 9 13 5 21 17 24 3 2 7"
Вчера,,149863,"12 6 8 4 21 14 5 7 19 22 16 17"
Вчера,,149862,"8 7 1 22 21 11 17 14 12 3 10 9"
Вчера,,149861,"22 7 3 17 5 20 13 18 2 19 8 23"
Вчера,,149860,"11 17 4 8 18 23 3 10 9 16 2 6"
Вчера,,149859,"7 14 4 8 22 5 12 19 3 6 24 9"
Вчера,,149858,"2 12 3 4 8 24 22 16 15 7 5 23"
Вчера,,149857,"11 23 2 3 4 21 22 1 19 13 9 16"
Вчера,,149856,"14 3 4 20 5 10 15 18 17 21 23 19"
Вчера,,149855,"16 22 20 12 7 8 21 13 10 4 3 17"
Вчера,,149854,"15 2 9 16 14 13 3 8 24 17 23 4"
Вчера,,149853,"5 21 3 12 9 24 2 11 6 7 1 16"
Вчера,,149852,"8 7 21 1 24 10 4 23 16 15 18 3"
Вчера,,149851,"19 21 1 18 11 22 5 24 12 13 15 3"
Вчера,,149850,"8 24 14 5 7 15 12 1 13 22 3 2"
Вчера,,149849,"2 19 1 6 23 17 20 10 18 4 15 7"
Вчера,,149848,"5 9 20 6 2 14 18 23 4 3 21 11"
Вчера,,149847,"20 16 21 24 17 5 12 23 19 14 13 22"
Вчера,,149846,"5 2 7 21 23 1 9 6 17 16 14 22"
Вчера,,149845,"5 4 16 19 3 14 12 24 10 6 15 17"
Вчера,,149844,"2 1 6 5 13 8 22 20 9 4 17 12"
Вчера,,149843,"11 4 1 16 17 15 20 6 12 21 7 13"
Вчера,,149842,"6 7 2 22 11 14 20 10 23 8 5 4"
Вчера,,149841,"8 1 7 14 18 21 24 13 4 3 10 9"
Вчера,,149840,"14 11 4 7 21 2 17 18 8 20 15 10"
Вчера,,149839,"15 13 5 9 16 4 20 2 6 12 10 18"
Вчера,,149838,"7 5 21 9 11 3 22 20 10 2 18 8"
Вчера,,149837,"14 16 13 9 22 3 24 6 8 1 21 10"
Вчера,,149836,"1 2 19 8 10 15 4 12 5 3 18 22"
Вчера,,149834,"4 15 16 22 5 21 6 24 9 13 2 14"
Вчера,,149833,"2 9 21 23 3 6 13 20 7 17 16 11"
Вчера,,149832,"14 6 8 23 3 9 4 11 17 22 7 15"
Вчера,,149831,"20 2 10 19 4 17 7 14 5 11 12 6"
Вчера,,149830,"13 7 9 11 2 15 6 3 12 5 17 14"
Вчера,,149829,"3 12 19 22 14 9 6 18 21 4 10 1"
Вчера,,149828,"7 1 17 10 23 12 15 13 19 21 22 3"
Вчера,,149827,"24 9 5 4 8 21 15 16 14 22 10 19"
Вчера,,149826,"3 15 16 19 12 18 23 21 17 22 6 13"
Вчера,,149825,"10 23 4 21 18 5 20 11 1 17 3 2"
Вчера,,149824,"14 4 1 15 2 16 10 22 11 7 24 23"
Вчера,,149823,"1 19 10 7 6 20 21 22 13 12 2 17"
Вчера,,149822,"18 7 22 12 5 10 19 21 14 1 16 9"
Вчера,,149821,"10 22 20 4 24 15 18 5 23 16 17 2"
Вчера,,149820,"7 5 17 11 2 10 13 21 14 12 16 24"
Вчера,,149819,"2 18 23 4 21 5 14 16 6 3 15 22"
Вчера,,149818,"9 16 7 23 5 12 20 15 21 10 4 22"
Вчера,,149817,"9 23 4 13 6 12 2 5 15 1 11 8"
Вчера,,149816,"2 16 5 23 21 1 7 17 6 11 12 22"
Вчера,,149815,"21 15 18 13 2 4 14 8 23 22 12 16"
Вчера,,149814,"5 13 15 20 22 11 10 12 21 23 8 14"
Вчера,,149813,"6 24 9 4 22 18 12 2 21 15 13 3"
Вчера,,149812,"19 14 3 11 24 4 22 1 17 2 12 18"
Вчера,,149811,"2 22 3 14 6 15 19 9 20 24 12 7"
10 августа,,149810,"16 6 3 17 11 19 5 7 1 23 22 4"
10 августа,,149809,"24 22 15 18 13 23 14 7 6 21 2 9"
10 августа,,149808,"23 8 24 5 22 21 9 12 10 20 1 19"
10 августа,,149807,"10 13 2 24 15 23 4 19 5 6 8 20"
10 августа,,149806,"12 23 14 24 15 9 5 7 10 4 13 6"
10 августа,,149805,"4 18 8 11 22 24 12 9 5 2 10 20"
